bairro,fisica,cidade,nacionalidade,est_civil,dt_nasc,uf,sexo,pep,desc_perfil,profissao,salario,cedido,regime,idade,profissao_cod,cluster
REALENGO,F,RIO DE JANEIRO,Brasileira,Divorciada,1955-02-03,RJ,FEMININO,Não,,Ag. De Adm.,4034.44,Não,Mensalista,70.0,106,3
SEPETIBA,F,RIO DE JANEIRO,Brasileira,Divorciada,1947-02-26,RJ,FEMININO,Não,,Agente De Administração,3854.28,Não,Mensalista,78.0,216,3
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1982-05-22,RJ,MASCULINO,Não,,Agente De Educação Infantil,2851.56,Não,Mensalista,43.0,237,0
AUSTIN,F,NOVA IGUACU,Brasileira,Solteiro,1947-05-29,RJ,MASCULINO,Não,,Trabalhador,2597.46,Não,Mensalista,78.0,1202,2
BANGU,F,RIO DE JANEIRO,Brasileira,Viúvo,1951-02-13,RJ,MASCULINO,Não,,Art. Jardin E Arboricultura,2460.02,Não,Mensalista,74.0,373,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Solteiro,1960-02-22,RJ,MASCULINO,Não,,Trabalhador,3981.24,Não,Mensalista,65.0,1202,2
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Solteiro,1939-04-18,RJ,MASCULINO,Não,,Ag. Comunic.,2300.48,Não,Mensalista,86.0,93,3
PECHINCHA,F,RIO DE JANEIRO,Brasileira,Casado,1960-01-20,RJ,MASCULINO,Não,,Trabalhador,4607.12,Não,Mensalista,65.0,1202,2
SÃO CRISTOVÃO,F,RIO DE JANEIRO,Brasileira,Solteiro,1968-09-25,RJ,MASCULINO,Não,,Trabalhador,2852.84,Não,Mensalista,57.0,1202,2
BANGU,F,RIO DE JANEIRO,Brasileira,Casado,1940-12-23,RJ,MASCULINO,Não,,Especial/Assistente Ii,1708.24,Não,Mensalista,85.0,745,2
ABOLIÇÃO,F,RIO DE JANEIRO,Brasileira,Casado,1960-08-17,RJ,MASCULINO,Não,,Aux De Serv De Apoio,4538.24,Não,Mensalista,65.0,491,3
BANGU,F,RIO DE JANEIRO,Brasileira,Casado,1964-05-17,RJ,MASCULINO,Não,,Trabalhador,2438.94,Não,Mensalista,61.0,1202,2
TIJUCA,F,RIO DE JANEIRO,Brasileira,Casado,1941-11-12,RJ,MASCULINO,Não,,Agente De Portaria,1475.88,Não,Mensalista,84.0,243,3
