bairro,fisica,cidade,nacionalidade,est_civil,dt_nasc,uf,sexo,pep,desc_perfil,profissao,salario,cedido,regime,idade,profissao_cod,cluster
SENADOR CAMARA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1980-08-20,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Adjunto De Educação,6225.48,Não,Mensalista,45.0,993,0
GUARATIBA,F,RIO DE JANEIRO,BRASILEIRA,Casado,1965-03-01,RJ,MASCULINO,Não,,Merendeira,850.82,Não,Mensalista,60.0,812,2
CENTRO,F,PARACAMBI,BRASILEIRA,Casado,1965-04-27,RJ,MASCULINO,Não,,Art. De Pavimentação E Pedreir,4138.0,Não,Mensalista,60.0,368,3
VILA LEOPOLDINA,F,DUQUE DE CAXIAS,BRASILEIRA,Casado,1958-05-08,RJ,MASCULINO,Não,,Guarda Municipal,6201.13,Não,Mensalista,67.0,776,2
JARDIM CATARINA,F,RIO DE JANEIRO,Brasileira,OUTROS,1952-04-01,RJ,MASCULINO,Não,,Trabalhador,1178.4,Não,Mensalista,73.0,1202,2
BARRA DA TIJUCA,F,RIO DE JANEIRO,Brasileira,Casado,1957-04-05,RJ,MASCULINO,Não,,Administracao,3827.9,Não,Mensalista,68.0,14,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Casado,1963-09-18,RJ,MASCULINO,Não,,Servente,1369.1,Não,Mensalista,62.0,1116,2
BANGU,F,RIO DE JANEIRO,Brasileira,Solteira,1965-04-17,RJ,FEMININO,Não,,Trabalhador,1243.23,Não,Mensalista,60.0,1202,2
PACHECO,F,SÃO GONÇALO,BRASILEIRA,Viúva,1955-02-12,RJ,FEMININO,Não,,Agente De Educação Infantil,3010.43,Não,Mensalista,70.0,237,3
PILARES,F,RIO DE JANEIRO,Brasileira,Separada judicialmente,1961-03-17,RJ,FEMININO,Não,,Aux De Enfermagem,3537.72,Não,Mensalista,64.0,459,3
VILA VALQUEIRE,F,RIO DE JANEIRO,BRASILEIRA,Divorciado,1965-05-14,RJ,MASCULINO,Não,,Prof I - Ciencias,9670.38,Não,Mensalista,60.0,897,1
TIJUCA,F,RIO DE JANEIRO,Brasileira,Casada,1956-04-09,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,5195.4,Não,Mensalista,69.0,474,3
CENTRO,F,MAGE,BRASILEIRA,Viúva,1973-08-07,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Docente Ii,11966.28,Não,Mensalista,52.0,1018,1
ROCHA MIRANDA,F,RIO DE JANEIRO,Brasileira,Solteira,1958-05-07,RJ,FEMININO,Não,,Merendeira,919.27,Não,Mensalista,67.0,812,2
INHAUMA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1958-12-05,RJ,FEMININO,Não,,Aposentada,2661.87,Não,Mensalista,67.0,294,3
JARDIM AMERICA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1968-03-20,RJ,FEMININO,Não,,Merendeira,1865.46,Não,Mensalista,57.0,812,0
BENTO RIBEIRO,F,RIO DE JANEIRO,Brasileira,Casada,1953-01-01,RJ,FEMININO,Não,,Aposentada,3164.84,Não,Mensalista,72.0,294,3
INHOAIBA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1960-09-25,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,3159.54,Não,Mensalista,65.0,474,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Viúvo,1943-05-14,RJ,MASCULINO,Não,,Art. De Mecanica,4397.02,Não,Mensalista,82.0,361,3
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Casada,1982-03-03,RJ,FEMININO,Não,,Professor De Educação Infantil,2857.59,Não,Mensalista,43.0,998,0
CENTRO,F,RIO DE JANEIRO,Brasileira,Solteiro,1954-03-12,RJ,FEMININO,Não,,Aux. De Enfermagem,2081.16,Não,Mensalista,71.0,525,3
RAMOS,F,RIO DE JANEIRO,Brasileira,Solteiro,1977-07-13,RJ,FEMININO,Não,,Professor,5089.04,Não,Mensalista,48.0,984,0
REALENGO,F,RIO DE JANEIRO,Brasileira,Casado,1972-02-20,RJ,FEMININO,Não,,Prof Ii,2435.0,Não,Mensalista,53.0,930,0
MARECHAL HERMES,F,RIO DE JANEIRO,Brasileira,Solteira,1979-09-08,RJ,FEMININO,Não,,Prof,5176.08,Não,Mensalista,46.0,874,0
PENHA CIRCULAR,F,RIO DE JANEIRO,Brasileira,Casado,1963-03-27,RJ,FEMININO,Não,,Aux. De Enfermagem,1757.66,Não,Mensalista,62.0,525,3
LINS DE VASCONCELOS,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1960-08-28,RJ,FEMININO,Não,,Aux. De Enfermagem 2º Grau,2278.11,Não,Mensalista,65.0,539,3
PACIENCIA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1970-01-12,RJ,FEMININO,Não,,Merendeira,1653.41,Não,Mensalista,55.0,812,0
SANTA CRUZ,F,RIO DE JANEIRO,BRASILEIRA,Viúva,1962-02-13,RJ,FEMININO,Não,,Merendeira,2908.96,Não,Mensalista,63.0,812,2
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Casado,1955-05-16,RJ,FEMININO,Não,,Aux. De Enf.,2923.56,Não,Mensalista,70.0,522,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Divorciado,1958-03-03,RJ,FEMININO,Não,,Professora Ii,6840.04,Não,Mensalista,67.0,1074,2
PACIENCIA,F,RIO DE JANEIRO,Brasileira,Casada,1966-07-03,RJ,FEMININO,Não,,Servente,1921.07,Não,Mensalista,59.0,1116,2
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Divorciada,1964-04-06,RJ,FEMININO,Não,,Professor Ii,3688.15,Não,Mensalista,61.0,1048,2
CARAMUJO,F,CURITIBA,Brasileira,Casada,1971-03-25,PR,FEMININO,Não,,Roupeiro,1911.18,Não,Mensalista,54.0,1099,0
LEOPOLDINA,F,SÃO JOÃO DE MERITI,Brasileira,Solteira,1959-08-16,RJ,FEMININO,Não,,Merendeira,727.23,Não,Mensalista,66.0,812,2
VILA DE CAVA,F,NOVA IGUAÇU,BRASILEIRA,Divorciada,1961-12-07,RJ,FEMININO,Não,,Aux De Enfermagem 1º Grau,3583.33,Não,Mensalista,64.0,468,3
BENTO RIBEIRO,F,RIO DE JANEIRO,Brasileira,Divorciada,1945-02-01,RJ,FEMININO,Não,,Professor Ii,2324.63,Não,Mensalista,80.0,1048,2
OLARIA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1961-02-20,RJ,FEMININO,Não,,Professor Ii,5362.06,Não,Mensalista,64.0,1048,2
OLARIA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1961-02-20,RJ,FEMININO,Não,,Aposentada,5362.06,Não,Mensalista,64.0,294,3
SANTISSIMO,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1964-01-14,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,2009.64,Não,Mensalista,61.0,474,3
BANCARIOS,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1978-03-12,RJ,MASCULINO,Não,,Aux De Cont. De Endemias,2358.77,Não,Mensalista,47.0,451,0
LEOPOLDINA,F,RIO DE JANEIRO,Brasileira,Divorciada,1969-12-05,RJ,FEMININO,Não,,Auxiliar De Enfermagem,1912.94,Não,Mensalista,56.0,608,0
IRAJA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1973-07-20,RJ,FEMININO,Não,,Merendeira,1755.98,Não,Mensalista,52.0,812,0
CENTRO,F,DUQUE DE CAXIAS,BRASILEIRA,Divorciada,1974-03-09,RJ,FEMININO,Não,,Professor Ii,8886.63,Não,Mensalista,51.0,1048,1
SENADOR CAMARA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1972-07-03,RJ,FEMININO,Não,,Ag De Educação Infantil,3694.83,Não,Mensalista,53.0,55,3
ROCHA MIRANDA,F,RIO DE JANEIRO,Brasileira,Casada,1974-04-23,RJ,FEMININO,Não,,Merendeira,843.79,Não,Mensalista,51.0,812,0
VILA HELIOPOLIS,F,BELFORD ROXO,BRASILEIRA,Solteiro,1973-02-13,RJ,FEMININO,Não,Risco PLD/FT Baixo,Ajudante I,3237.0,Não,Mensalista,52.0,286,0
INHAUMA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1974-02-13,RJ,FEMININO,Não,,Agente De Educaçao Infantil,3289.16,Não,Mensalista,51.0,235,0
BENFICA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1978-04-21,RJ,FEMININO,Não,,Aux De Enfermagem,6037.6,Não,Mensalista,47.0,459,0
ILHA DO GOVERNADOR,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1964-06-21,RJ,FEMININO,Não,,Ag. De Administração,4097.06,Não,Mensalista,61.0,109,3
VILA SAO JORGE,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1956-05-10,RJ,FEMININO,Não,,Servente,2238.9,Não,Mensalista,69.0,1116,2
OLARIA,F,RIO DE JANEIRO,Brasileira,Solteira,1960-07-08,RJ,FEMININO,Não,,Ag De Administração,10905.32,Não,Mensalista,65.0,40,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Casada,1969-07-15,RJ,FEMININO,Não,,Roupeiro,1627.54,Não,Mensalista,56.0,1099,2
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1969-08-07,RJ,FEMININO,Não,,Prof. De Educação Infantil,8710.09,Não,Mensalista,56.0,952,1
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1969-08-07,RJ,FEMININO,Não,,Professor Ii,7886.28,Não,Mensalista,56.0,1048,1
VILA SANTA TEREZA,F,BELFORD ROXO,BRASILEIRA,Solteiro,1972-06-07,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Professor De Ensino Fundamenta,6335.12,Não,,53.0,1001,1
TAQUARA,F,RIO DE JANEIRO,Brasileira,Solteira,1965-12-29,RJ,FEMININO,Não,,Agente De Portaria,3850.61,Não,Mensalista,60.0,243,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Solteiro,1955-10-30,RJ,FEMININO,Não,,Servente,724.8,Não,Mensalista,70.0,1116,2
CASCADURA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1962-05-29,RJ,FEMININO,Não,,Merendeira,829.74,Não,Mensalista,63.0,812,2
CENTRO,F,RIO DE JANEIRO,Brasileira,Casada,1954-10-03,RJ,FEMININO,Não,,Aux De Enfermagem,1225.94,Não,Mensalista,71.0,459,3
SENADOR CAMARA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1968-04-04,RJ,FEMININO,Não,,Merendeira,2116.36,Não,Mensalista,57.0,812,0
SENADOR VASCONCELOS,F,RIO DE JANEIRO,BRASILEIRA,Divorciado,1966-12-23,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Ii,7278.03,Não,Mensalista,59.0,1048,1
PACIENCIA,F,RIO DE JANEIRO,Brasileira,Casada,1961-01-01,RJ,FEMININO,Não,,Aposentada,1538.42,Não,Mensalista,64.0,294,3
COELHO DA ROCHA,F,SÃO JOÃO DE MERITI,Brasileira,Solteira,1959-05-12,RJ,FEMININO,Não,,Aux. De Enfermagem 2º Grau,3417.68,Não,Mensalista,66.0,539,3
GRAMACHO,F,DUQUE DE CAXIAS,BRASILEIRA,Solteira,1979-12-30,RJ,FEMININO,Não,,Ag. De Educação Infantil,3121.28,Não,Mensalista,46.0,129,0
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Casada,1966-02-15,RJ,FEMININO,Não,,Professor,6218.62,Não,Mensalista,59.0,984,1
FREGUESIA,F,RIO DE JANEIRO,Brasileira,Separado judicialmente,1950-10-05,RJ,FEMININO,Não,,Professor Ii,6742.26,Não,Mensalista,75.0,1048,2
MADUREIRA,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1960-08-08,RJ,FEMININO,Não,Risco PLD/FT Baixo,Prof I - Educação Fisica,12905.04,Não,Mensalista,65.0,902,1
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Viúva,1954-07-12,RJ,FEMININO,Não,,Professor Ii,270.08,Não,Mensalista,71.0,1048,2
PRAÇA SECA,F,RIO DE JANEIRO,BRASILEIRA,Separada judicialmente,1952-12-24,RJ,FEMININO,Não,,Especialista De Educação - Lic,8376.94,Não,Mensalista,73.0,752,1
PRAÇA SECA,F,RIO DE JANEIRO,BRASILEIRA,Separada judicialmente,1952-12-24,RJ,FEMININO,Não,,Professor Ii,8376.94,Não,Mensalista,73.0,1048,1
BANCARIOS,F,RIO DE JANEIRO,Brasileira,Viúva,1963-09-10,RJ,FEMININO,Não,,Merendeira,1449.4,Não,Mensalista,62.0,812,2
PAVUNA,F,RIO DE JANEIRO,Brasileira,Divorciado,1960-12-27,RJ,FEMININO,Não,,Merendeira,1705.5,Não,Mensalista,65.0,812,2
FLAMENGO,F,RIO DE JANEIRO,Brasileira,Casado,1958-10-16,RJ,FEMININO,Não,,Datilagrafo,4981.48,Não,Mensalista,67.0,687,2
IRAJA,F,RIO DE JANEIRO,BRASILEIRA,SOLTEIRO,1960-01-06,RJ,FEMININO,Não,,Merendeira,1494.91,Não,Mensalista,65.0,812,2
RECREIO DOS BANDEIRANTES,F,RIO DE JANEIRO,BRASILEIRA,Viúvo,1960-12-07,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Ii,3079.98,Não,Mensalista,65.0,1048,2
MAGALHÃES BASTOS,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1954-07-23,RJ,FEMININO,Não,,Servente,1282.74,Não,Mensalista,71.0,1116,2
TURIAÇU,F,RIO DE JANEIRO,Brasileira,Solteira,1952-02-17,RJ,FEMININO,Não,,Ag. De Administraçao,3767.63,Não,Mensalista,73.0,108,3
ENGENHO NOVO,F,RIO DE JANEIRO,BRASILEIRA,Casada,1969-12-12,RJ,FEMININO,Não,,Aux De Enfermagem,3581.38,Não,Mensalista,56.0,459,0
ANIL,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1964-06-02,RJ,FEMININO,Não,,Professor Ii,6465.22,Não,Mensalista,61.0,1048,2
ANIL,F,RIO DE JANEIRO,Brasileira,Divorciada,1964-06-02,RJ,FEMININO,Não,,Aposentada,5515.75,Não,Mensalista,61.0,294,3
BENTO RIBEIRO,F,RIO DE JANEIRO,Brasileira,Solteiro,1958-10-09,RJ,FEMININO,Não,,Ag. Material,1980.78,Não,Mensalista,67.0,147,3
SEPETIBA,F,RIO DE JANEIRO,Brasileira,Casada,1968-06-30,RJ,FEMININO,Não,,Merendeira,3184.12,Não,Mensalista,57.0,812,0
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Divorciada,1955-02-11,RJ,FEMININO,Não,,Servente,3292.75,Não,Mensalista,70.0,1116,2
VILAR NOVO,F,BELFORD ROXO,Brasileira,Divorciada,1961-11-04,RJ,FEMININO,Não,,Agente De Administração,4346.23,Não,Mensalista,64.0,216,3
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1959-09-23,RJ,FEMININO,Não,,Auxiliar De Enfermagem 2º Grau,2381.96,Não,Mensalista,66.0,620,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Divorciada,1953-01-04,RJ,FEMININO,Não,,Professor Ii,5875.75,Não,Mensalista,72.0,1048,2
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1953-01-04,RJ,FEMININO,Não,,Professor Ii,5875.75,Não,Mensalista,72.0,1048,2
INHAUMA,F,RIO DE JANEIRO,Brasileira,Viúva,1957-09-10,RJ,FEMININO,Não,,Aposentada,2511.24,Não,Mensalista,68.0,294,3
SANTA CRUZ,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1978-10-05,RJ,FEMININO,Não,,Agente De Educação Infantil,2499.12,Não,Mensalista,47.0,237,0
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Viúvo,1950-05-07,RJ,FEMININO,Não,,Agente Comunitario,2224.62,Não,Mensalista,75.0,198,3
ANCHIETA,F,RIO DE JANEIRO,Brasileira,Solteira,1962-04-06,RJ,FEMININO,Não,,Professor I Geografia,9995.13,Não,Mensalista,63.0,1042,1
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Divorciada,1979-09-10,RJ,FEMININO,Não,,Professor Ii,4036.05,Não,Mensalista,46.0,1048,0
CARAMUJO,F,RIO DE JANEIRO,Brasileira,Casado,1952-07-30,RJ,FEMININO,Não,,Prof. Ii Plena Licença,7259.4,Não,Mensalista,73.0,971,2
BRAGA,F,CABO FRIO,Brasileira,Solteira,1953-10-04,RJ,FEMININO,Não,,Ag De Administração,8620.2,Não,Mensalista,72.0,40,3
QUINTINO BOCAIUVA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1951-11-29,RJ,FEMININO,Não,,Aux De Serviços De Saude,1869.38,Não,Mensalista,74.0,499,3
MANGUINHOS,F,RIO DE JANEIRO,Brasileira,Divorciada,1956-02-25,RJ,FEMININO,Não,,Agente Aux. De Adm.,1634.68,Não,Mensalista,69.0,186,3
VILA DA PENHA,F,RIO DE JANEIRO,Brasileira,Viúva,1963-11-07,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,2431.19,Não,Mensalista,62.0,474,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Solteiro,1958-01-30,RJ,FEMININO,Não,Risco PLD/FT Baixo,Aux De Enfermagem 2º Grau,3252.07,Não,Mensalista,67.0,474,3
TAQUARA,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1968-05-15,RJ,FEMININO,Não,Risco PLD/FT Baixo,Enfermeiro Lei 7946'18,8479.65,Não,Mensalista,57.0,726,1
SENADOR CAMARA,F,RIO DE JANEIRO,Brasileira,Viúvo,1951-12-11,RJ,FEMININO,Não,,Prof 2 Lic. Plena,6076.66,Não,Mensalista,74.0,880,2
ROCHA MIRANDA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1961-06-01,RJ,FEMININO,Não,,Agente De Portaria,2103.34,Não,Mensalista,64.0,243,3
ENSEADA DAS GAIVOTAS,F,RIO DAS OSTRAS,Brasileira,Solteira,1963-09-11,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,3307.43,Não,Mensalista,62.0,474,3
INHOAIBA,F,RIO DE JANEIRO,BRASILEIRA,SOLTEIRO,1964-01-20,RJ,FEMININO,Não,,Ag De Administracao/Gerente Ii,12802.96,Não,Mensalista,61.0,38,1
PAVUNA,F,RIO DE JANEIRO,Brasileira,Casado,1957-11-03,RJ,MASCULINO,Não,,Trabalhador/Supervisor De Ativ,4756.7,Não,Mensalista,68.0,1224,2
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Viúva,1968-12-05,RJ,FEMININO,Não,,Aposentada,2204.96,Não,Mensalista,57.0,294,3
PARQUE AMBAI,F,NOVA IGUAÇU,BRASILEIRA,Casado,1955-10-04,RJ,MASCULINO,Não,,Motorista,3912.1,Não,Mensalista,70.0,827,2
SENADOR VASCONCELOS,F,RIO DE JANEIRO,BRASILEIRA,Divorciado,1960-08-23,RJ,MASCULINO,Não,,Agente De Administrção,5023.51,Não,Mensalista,65.0,220,3
TAQUARA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1959-05-24,RJ,FEMININO,Não,,Inspetor De Alunos,2745.82,Não,Mensalista,66.0,789,2
PENHA CIRCULAR,F,RIO DE JANEIRO,Brasileira,Casado,1963-04-10,RJ,MASCULINO,Não,,Aux De Enfermagem 2ª Grau,4586.22,Não,Mensalista,62.0,471,3
TAQUARA,F,RIO DE JANEIRO,BRASILEIRA,OUTROS,1955-11-11,RJ,FEMININO,Não,,Agente Administração,1869.73,Não,Mensalista,70.0,181,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Divorciada,1942-04-21,RJ,FEMININO,Não,,Prof Ii,2593.75,Não,Mensalista,83.0,930,2
RIACHUELO,F,RIO DE JANEIRO,Brasileira,Casado,1962-11-21,RJ,FEMININO,Não,,Professor,10633.44,Não,Mensalista,63.0,984,1
RIACHUELO,F,RIO DE JANEIRO,BRASILEIRA,Casado,1962-11-21,RJ,FEMININO,Não,,Professor,4921.91,Não,Mensalista,63.0,984,2
GUARATIBA,F,RIO DE JANEIRO,Brasileira,Casada,1957-03-23,RJ,FEMININO,Não,,Auxiliar De Enfermagem 2° Grau,2918.44,Não,Mensalista,68.0,619,3
CORDOVIL,F,RIO DE JANEIRO,Brasileira,Viúva,1957-05-17,RJ,FEMININO,Não,,Auxiliar De Enfermagem 2º Grau,4394.91,Não,Mensalista,68.0,620,3
MADUREIRA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1950-10-30,RJ,FEMININO,Não,,Professor Ii,5931.72,Não,Mensalista,75.0,1048,2
MADUREIRA,F,RIO DE JANEIRO,Brasileira,Solteira,1950-10-30,RJ,FEMININO,Não,,Professora Ii,5931.72,Não,Mensalista,75.0,1074,2
AMENDOEIRA,F,SAO GONCALO,Brasileira,Viúvo,1942-07-30,RJ,FEMININO,Não,,Prof Doc,2802.9,Não,Mensalista,83.0,888,2
REALENGO,F,RIO DE JANEIRO,Brasileira,Solteiro,1958-03-20,RJ,FEMININO,Não,,Trabalhador,912.12,Não,Mensalista,67.0,1202,2
CORDOVIL,F,RIO DE JANEIRO,Brasileira,Casado,1955-11-13,RJ,MASCULINO,Não,,Art De Alv E Pintura,5244.99,Não,Mensalista,70.0,301,3
REALENGO,F,RIO DE JANEIRO,BRASILEIRA,Casado,1986-07-14,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Adjunto De Educação,6585.72,Não,Mensalista,39.0,993,0
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1978-04-05,RJ,FEMININO,Não,,Profissional De Nivel Medio,4406.95,Não,Mensalista,47.0,1083,0
CACHAMBI,F,RIO DE JANEIRO,Brasileira,Solteiro,1949-06-05,RJ,MASCULINO,Não,,Servente,2213.26,Não,Mensalista,76.0,1116,2
TAQUARA,F,RIO DE JANEIRO,BRASILEIRA,Viúva,1963-10-05,RJ,FEMININO,Não,Risco PLD/FT Baixo,Pensionista,11420.42,Não,Mensalista,62.0,863,1
ENGENHOCA,F,NITERÓI,BRASILEIRA,Divorciado,1976-08-27,RJ,FEMININO,Não,,Auxiliar De Enfermagem,3088.96,Não,Mensalista,49.0,608,0
ANA CLARA,F,RIO DE JANEIRO,Brasileira,Divorciado,1960-07-16,RJ,MASCULINO,Não,,Sub Oficial,6985.2,Não,Mensalista,65.0,1132,2
RIACHUELO,F,RIO DE JANEIRO,Brasileira,Solteira,1962-04-15,RJ,FEMININO,Não,,Professor I - Historia,5692.77,Não,Mensalista,63.0,1036,2
GUADALUPE,F,RIO DE JANEIRO,Brasileira,Solteiro,1954-12-25,RJ,FEMININO,Não,,Aux. Enfermargem,2350.14,Não,Mensalista,71.0,566,3
GUARATIBA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1967-04-06,RJ,FEMININO,Não,,Merendeira,1618.78,Não,Mensalista,58.0,812,0
TURIAÇU,F,RIO DE JANEIRO,Brasileira,Solteiro,1967-11-26,RJ,MASCULINO,Não,,Art De Pavimentacao E Pedreir,2798.06,Não,Mensalista,58.0,328,3
BANGU,F,RIO DE JANEIRO,Brasileira,Divorciado,1948-05-25,RJ,MASCULINO,Não,,Animador Cultural,1109.8,Não,Mensalista,77.0,290,3
SANTA CRUZ,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1961-07-30,RJ,MASCULINO,Não,,Guarda Municipal,7812.18,Não,Mensalista,64.0,776,1
SURUI,F,MAGE,BRASILEIRA,Solteiro,1985-08-09,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor De Ensino Fundamenta,7676.62,Não,Mensalista,40.0,1001,1
RAMOS,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1981-11-05,RJ,FEMININO,Não,,Ag. De Educação Infantil,3563.86,Não,Mensalista,44.0,129,0
PADRE MIGUEL,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1979-12-29,RJ,FEMININO,Não,,Agente De Administração,3857.25,Não,Mensalista,46.0,216,0
BONSUCESSO,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1981-03-06,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Cabo Pm,7635.55,Não,,44.0,658,0
INCONFIDENCIA NOVA,F,NOVA IGUAÇU,BRASILEIRA,Solteiro,1979-07-07,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Chefe De Setor,4356.25,Não,Mensalista,46.0,668,0
CASCADURA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1979-12-10,RJ,FEMININO,Não,,Agente De Educaçao Infantil,4179.96,Não,Mensalista,46.0,235,0
PEDRA DE GUARATIBA,F,RIO DE JANEIRO,BRASILEIRA,SOLTEIRO,1976-12-09,RJ,FEMININO,Não,,Professor,1057.56,Não,Mensalista,49.0,984,0
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Casado,1948-06-16,RJ,MASCULINO,Não,,Operador De Maq Auxiliares,1695.77,Não,Mensalista,77.0,851,2
JARDIM PRIMAVERA,F,DUQUE DE CAXIAS,BRASILEIRA,Casado,1981-11-24,RJ,MASCULINO,Não,Risco PLD/FT Baixo,3º Sargento Pm,9726.12,Não,Mensalista,44.0,11,0
CENTRO,F,RIO DE JANEIRO,Brasileira,Não informado,1949-11-19,RJ,MASCULINO,Não,,Agente Adm.,2440.24,Não,Mensalista,76.0,174,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Viúva,1946-05-05,RJ,FEMININO,Não,,Merendeira,873.75,Não,Mensalista,79.0,812,2
PECHINCHA,F,RIO DE JANEIRO,Brasileira,Não informado,1960-09-12,RJ,MASCULINO,Não,,Ag. Adm,0.0,Não,Mensalista,65.0,74,3
FONSECA,F,NITEROI,Brasileira,Não informado,1957-08-20,RJ,FEMININO,Não,,Agente Administrativo,2690.98,Não,Mensalista,68.0,178,3
CENTRO,F,RIO DE JANEIRO,Brasileira,Solteiro,1942-11-07,RJ,MASCULINO,Não,,Art. De Instalações Hidraulica,2030.48,Não,Mensalista,83.0,358,3
BARRA DE GUARATIBA,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1951-11-13,RJ,MASCULINO,Não,,Servente (Sms),2579.13,Não,Mensalista,74.0,1118,2
BANGU,F,RIO DE JANEIRO,Brasileira,Divorciado,1956-02-17,RJ,FEMININO,Não,,Aux. De Enfermagem,2145.42,Não,Mensalista,69.0,525,3
JARDIM INOHAN,F,MARICA,Brasileira,Solteiro,1964-03-20,RJ,MASCULINO,Não,,Trabalhador,2223.14,Não,Mensalista,61.0,1202,2
JARDIM MERITI,F,SÃO JOÃO DE MERITI,BRASILEIRA,Solteira,1978-08-28,RJ,FEMININO,Não,,Aposentada,1155.0,Não,Mensalista,47.0,294,0
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Divorciado,1946-09-30,RJ,MASCULINO,Não,,Auxiliar De Enfermagem,4013.77,Não,Mensalista,79.0,608,3
CATETE,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1955-12-11,RJ,FEMININO,Não,,Tecnico De Produção E Organiza,4551.64,Não,Mensalista,70.0,1181,2
PAVUNA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1972-02-27,RJ,FEMININO,Não,,Professor Ii,9247.74,Não,Mensalista,53.0,1048,1
PAVUNA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1972-02-27,RJ,FEMININO,Não,,Professor Ii,9247.74,Não,Mensalista,53.0,1048,1
